index	cumtime	cummem
0	0.157381	3.504753112792969e-05
1	0.1731411	3.528594970703125e-05
2	0.17633272	3.552436828613281e-05
3	0.17942769	3.5762786865234375e-05
4	0.18203477	3.600120544433594e-05
5	0.18308319	3.600865602493286e-05
6	0.18435451	0.00017333775758743286
7	0.18582624	0.00017357617616653442
8	0.19222425	0.00017381459474563599
9	0.1950558	0.00017405301332473755
10	0.20088511	0.0001742914319038391
11	0.20518655	0.00017429888248443604
12	0.2110104	0.00031162798404693604
13	0.21609505	0.0003118664026260376
14	0.22118838	0.00031210482120513916
15	0.22600575	0.0003123432397842407
16	0.23184646	0.0003125816583633423
17	0.23639348	0.0003125891089439392
18	0.24670048	0.0004499182105064392
19	0.25556918	0.00045015662908554077
20	0.26018496	0.00045039504766464233
21	0.26840324	0.0004506334662437439
22	0.27660969	0.00045087188482284546
23	0.27993544	0.0004508793354034424
24	0.28146954	0.0005882084369659424
25	0.28318489	0.0005884468555450439
26	0.28426697	0.0005886852741241455
27	0.28657219	0.0005889236927032471
28	0.28875597	0.0005891621112823486
29	0.29307149	0.0005891695618629456
30	0.29597137	0.0008638277649879456
31	0.3028192	0.0008643046021461487
32	0.30439131	0.0008647814393043518
33	0.31136145	0.0008652582764625549
34	0.32569045	0.0008657351136207581
35	0.33087075	0.000865742564201355
36	0.33960669	0.001415058970451355
37	0.35006739	0.001415535807609558
38	0.35687449	0.0014160126447677612
39	0.35901861	0.0014164894819259644
40	0.360646	0.0014169663190841675
41	0.36263021	0.0014169737696647644
42	0.36445774	0.0014474913477897644
43	0.3671984	0.0014479681849479675
44	0.36959279	0.0014484450221061707
45	0.37203999	0.0014489218592643738
46	0.37395452	0.001449398696422577
47	0.37583435	0.0014494061470031738
48	0.37735819	0.001998722553253174
49	0.46908169	0.001999199390411377
50	0.469744716	0.00199967622756958
51	0.470411465	0.002000153064727783
52	0.471057059	0.0020006299018859863
53	0.471699637	0.0020006373524665833
54	0.472342027	0.0025499537587165833
55	0.473069637	0.0025504305958747864
56	0.473723656	0.0025509074330329895
57	0.474027578	0.0025513842701911926
58	0.474937195	0.0025518611073493958
59	0.475534774	0.0025518685579299927
60	0.476463024	0.0036505013704299927
61	0.477604644	0.003651455044746399
62	0.478548263	0.003652408719062805
63	0.479160629	0.0036533623933792114
64	0.479803758	0.0036543160676956177
65	0.480410426	0.0036543235182762146
66	0.480999852	0.005851589143276215
67	0.481970319	0.005852542817592621
68	0.482623199	0.005853496491909027
69	0.483250977	0.005854450166225433
